feature,dtype,rows,non_null,missing,missing_rate,inf_count,unique_count,variance,zero_variance
bytes_first25pct,float64,72603,72603,0,0.0,0,72603,0.015127585245780737,False
bytes_first10pct,float64,72603,72603,0,0.0,0,72593,0.0004498552377640706,False
packets_last25pct,float64,72603,72603,0,0.0,0,68390,0.037359192905027865,False
packets_last10pct,float64,72603,72603,0,0.0,0,57616,0.0035407247065496078,False
bytes_last25pct,float64,72603,72603,0,0.0,0,72581,0.04179300014050991,False
bytes_last10pct,float64,72603,72603,0,0.0,0,72387,0.0037970133792407583,False
time_to_first_big_burst,float64,72603,48541,24062,0.3314188118948253,0,48242,18.13349311406108,False
mean_time_between_bursts,float64,72603,72603,0,0.0,0,72603,0.03848355854063279,False
spectral_energy_low,float64,72603,72603,0,0.0,0,72603,1.4941753172386583e-05,False
spectral_energy_mid,float64,72603,72603,0,0.0,0,72603,6.544460292373013e-06,False
spectral_energy_high,float64,72603,72603,0,0.0,0,72603,1.7098113540335444e-06,False
