fold,prototype_type,query_type,distance_metric,site_label,n_queries,top1_accuracy,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,52,325,0.07692307692307693,0.3415384615384615,0.21805370581039465,13.569230769230769
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,53,326,0.2147239263803681,0.5,0.365634294651275,5.9815950920245395
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,54,328,0.17378048780487804,0.6097560975609756,0.3964223890584962,7.0
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,55,321,0.22118380062305296,0.4174454828660436,0.33591184739832675,13.077881619937695
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,57,269,0.0,0.011152416356877323,0.06891250202999946,16.159851301115243
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,6,286,0.12237762237762238,0.46153846153846156,0.2858948161395714,5.814685314685315
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,60,332,0.006024096385542169,0.20180722891566266,0.12954774230242602,13.259036144578314
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,61,330,0.4121212121212121,0.896969696969697,0.6129459711944412,3.2393939393939393
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,63,331,0.01812688821752266,0.2809667673716012,0.17492149172732213,8.628398791540786
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,68,330,0.07272727272727272,0.3151515151515151,0.19384342062039317,16.954545454545453
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,7,328,0.2896341463414634,0.5335365853658537,0.3998636954480424,16.24390243902439
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,71,329,0.48632218844984804,0.6534954407294833,0.5677769360349764,20.179331306990882
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,72,304,0.03618421052631579,0.28618421052631576,0.16572115292279987,13.832236842105264
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,76,296,0.13175675675675674,0.5135135135135135,0.3190848082098915,8.175675675675675
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,77,302,0.1390728476821192,0.23841059602649006,0.210186293508715,23.705298013245034
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,78,334,0.059880239520958084,0.4341317365269461,0.24498980239302712,10.790419161676647
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,80,334,0.2904191616766467,0.5808383233532934,0.42794598232365344,7.38622754491018
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,81,260,0.2153846153846154,0.7038461538461539,0.4518337029988614,4.719230769230769
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,86,329,0.1945288753799392,1.0,0.5364741641337386,2.1702127659574466
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,89,330,0.00909090909090909,0.1393939393939394,0.09902846836232027,18.757575757575758
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,9,328,0.042682926829268296,0.38414634146341464,0.20618514036795643,11.801829268292684
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,90,318,0.24528301886792453,0.4559748427672956,0.357684014641138,19.270440251572328
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,92,235,0.14042553191489363,0.574468085106383,0.35352432784848303,6.208510638297873
